estado,estado_numero,prob
blob_atento,1,0.9999989867210388
blob_atento,1,0.9999989271163940
blob_atento,1,0.9999938607215881
blob_normal,0,0.9999877214431763
blob_normal,0,0.9999728202819824
blob_atento,1,0.9999599456787109
blob_atento,1,0.9997918009757996
blob_normal,0,0.9995598793029785
blob_normal,0,0.9860993027687073
blob_triste,5,0.1065630987286568
estado,estado_numero,prob
blob_atento,1,0.9999993443489075
blob_normal,0,0.9998544454574585
blob_normal,0,0.9997829794883728
blob_atento,1,0.9993430376052856
blob_normal,0,0.9974530339241028
blob_raiva,6,0.9969798922538757
blob_normal,0,0.9964355230331421
blob_normal,0,0.9876935482025146
blob_raiva,6,0.0606910549104214
blob_entediado,7,0.0542659498751163
estado,estado_numero,prob
blob_atento,1,0.9999999403953552
blob_atento,1,0.9999995827674866
blob_normal,0,0.9999947547912598
blob_normal,0,0.9999618530273438
blob_raiva,6,0.9998651742935181
blob_normal,0,0.9997925162315369
blob_atento,1,0.9997673630714417
blob_normal,0,0.9771163463592529
blob_raiva,6,0.9665772318840027
blob_atento,1,0.9324678182601929
estado,estado_numero,prob
blob_atento,1,0.9999999403953552
blob_atento,1,0.9999990463256836
blob_normal,0,0.9999899268150330
blob_raiva,6,0.9999044537544250
blob_atento,1,0.9997014403343201
blob_normal,0,0.9952904582023621
blob_normal,0,0.9945885539054871
blob_raiva,6,0.9941107034683228
blob_raiva,6,0.9865773320198059
blob_normal,0,0.9546855092048645
estado,estado_numero,prob
blob_atento,1,0.9999999403953552
blob_atento,1,0.9999990463256836
blob_normal,0,0.9999899268150330
blob_raiva,6,0.9999044537544250
blob_atento,1,0.9997014403343201
blob_normal,0,0.9952904582023621
blob_normal,0,0.9945885539054871
blob_raiva,6,0.9941107034683228
blob_raiva,6,0.9865773320198059
blob_normal,0,0.9546855092048645
estado,estado_numero,prob
blob_atento,1,0.9999999403953552
blob_atento,1,0.9999990463256836
blob_normal,0,0.9999899268150330
blob_raiva,6,0.9999044537544250
blob_atento,1,0.9997014403343201
blob_normal,0,0.9952904582023621
blob_normal,0,0.9945885539054871
blob_raiva,6,0.9941107034683228
blob_raiva,6,0.9865773320198059
blob_normal,0,0.9546855092048645
estado,estado_numero,prob
blob_atento,1,0.9999999403953552
blob_atento,1,0.9999990463256836
blob_normal,0,0.9999899268150330
blob_raiva,6,0.9999044537544250
blob_atento,1,0.9997014403343201
blob_normal,0,0.9952904582023621
blob_normal,0,0.9945885539054871
blob_raiva,6,0.9941107034683228
blob_raiva,6,0.9865773320198059
blob_normal,0,0.9546855092048645
estado,estado_numero,prob
blob_atento,1,0.9999999403953552
blob_atento,1,0.9999990463256836
blob_normal,0,0.9999899268150330
blob_raiva,6,0.9999044537544250
blob_atento,1,0.9997014403343201
blob_normal,0,0.9952904582023621
blob_normal,0,0.9945885539054871
blob_raiva,6,0.9941107034683228
blob_raiva,6,0.9865773320198059
blob_normal,0,0.9546855092048645
estado,estado_numero,prob
blob_atento,1,0.9999999403953552
blob_atento,1,0.9999990463256836
blob_normal,0,0.9999899268150330
blob_raiva,6,0.9999044537544250
blob_atento,1,0.9997014403343201
blob_normal,0,0.9952904582023621
blob_normal,0,0.9945885539054871
blob_raiva,6,0.9941107034683228
blob_raiva,6,0.9865773320198059
blob_normal,0,0.9546855092048645
estado,estado_numero,prob
blob_atento,1,0.9999999403953552
blob_atento,1,0.9999591708183289
blob_normal,0,0.9999489188194275
blob_atento,1,0.9998656511306763
blob_feliz,4,0.9929289221763611
blob_raiva,6,0.9856517910957336
blob_surpreso,2,0.9796136617660522
blob_normal,0,0.9684173464775085
blob_raiva,6,0.7807729244232178
blob_normal,0,0.7671419382095337
estado,estado_numero,prob
blob_atento,1,0.9999999403953552
blob_atento,1,0.9999995827674866
blob_normal,0,0.9999947547912598
blob_normal,0,0.9999618530273438
blob_raiva,6,0.9998651742935181
blob_normal,0,0.9997925162315369
blob_atento,1,0.9997673630714417
blob_normal,0,0.9771163463592529
blob_raiva,6,0.9665772318840027
blob_atento,1,0.9324678182601929
estado,estado_numero,prob
blob_atento,1,0.9999999403953552
blob_atento,1,0.9999991655349731
blob_atento,1,0.9999989271163940
blob_normal,0,0.9999913573265076
blob_normal,0,0.9999768137931824
blob_atento,1,0.9995691776275635
blob_raiva,6,0.9982126355171204
blob_raiva,6,0.9968081712722778
blob_raiva,6,0.8547149300575256
blob_atento,1,0.7497078180313110
estado,estado_numero,prob
blob_atento,1,0.9999999403953552
blob_atento,1,0.9999995827674866
blob_atento,1,0.9999990463256836
blob_normal,0,0.9999925494194031
blob_normal,0,0.9999333620071411
blob_normal,0,0.9997156858444214
blob_atento,1,0.9994406700134277
blob_normal,0,0.9908869862556458
blob_normal,0,0.9840646982192993
blob_atento,1,0.9458978772163391
estado,estado_numero,prob
blob_atento,1,0.9999999403953552
blob_atento,1,0.9999991059303284
blob_atento,1,0.9999989867210388
blob_normal,0,0.9999915957450867
blob_atento,1,0.9994900822639465
blob_normal,0,0.9994252324104309
blob_raiva,6,0.9974000453948975
blob_atento,1,0.9942058324813843
blob_normal,0,0.9719074964523315
blob_atento,1,0.7293701767921448
estado,estado_numero,prob
blob_atento,1,0.9999999403953552
blob_atento,1,0.9999995827674866
blob_atento,1,0.9999991655349731
blob_normal,0,0.9999946355819702
blob_atento,1,0.9997535943984985
blob_normal,0,0.9949538707733154
blob_normal,0,0.9884782433509827
blob_atento,1,0.9882920980453491
blob_raiva,6,0.9666811823844910
blob_atento,1,0.9370464086532593
estado,estado_numero,prob
blob_atento,1,1.0000000000000000
blob_atento,1,0.9999994635581970
blob_normal,0,0.9999861121177673
blob_normal,0,0.9999811053276062
blob_atento,1,0.9997172355651855
blob_normal,0,0.9991452693939209
blob_atento,1,0.9965444207191467
blob_normal,0,0.9931411743164062
blob_normal,0,0.9903759360313416
blob_atento,1,0.7924896478652954
estado,estado_numero,prob
blob_atento,1,0.9999999403953552
blob_atento,1,0.9999990463256836
blob_normal,0,0.9999899268150330
blob_raiva,6,0.9999044537544250
blob_atento,1,0.9997014403343201
blob_normal,0,0.9952904582023621
blob_normal,0,0.9945885539054871
blob_raiva,6,0.9941107034683228
blob_raiva,6,0.9865773320198059
blob_normal,0,0.9546855092048645
estado,estado_numero,prob
blob_atento,1,0.9999999403953552
blob_atento,1,0.9999983310699463
blob_normal,0,0.9999856352806091
blob_raiva,6,0.9999250769615173
blob_atento,1,0.9996373653411865
blob_normal,0,0.9994297027587891
blob_normal,0,0.9982812404632568
blob_atento,1,0.9721344709396362
blob_atento,1,0.9414840936660767
blob_normal,0,0.8054674267768860
estado,estado_numero,prob
blob_normal,0,0.9999916553497314
blob_normal,0,0.9999907016754150
blob_normal,0,0.9999884963035583
blob_normal,0,0.9999868273735046
blob_normal,0,0.9999516606330872
blob_normal,0,0.9991212487220764
blob_normal,0,0.9982756376266479
blob_normal,0,0.9870962500572205
blob_normal,0,0.9803215861320496
blob_raiva,6,0.9702986478805542
estado,estado_numero,prob
blob_atento,1,0.9999995827674866
blob_normal,0,0.9999758005142212
blob_surpreso,2,0.9999446272850037
blob_raiva,6,0.9999225139617920
blob_normal,0,0.9999149441719055
blob_normal,0,0.9987232685089111
blob_normal,0,0.9978969097137451
blob_atento,1,0.9865265488624573
